hXwiObqpMaLERC	120
tcodTcpdfKezVxnI	120
TeUspvslwfqARMti	120
ySqpdCakzAMHSnsoFJk	120
WheXaF	120
EiqbWCdvQonJeddJ	120
jLehcOQaWaUay	120
PRjOApItXRWhcdF	120
STzZbLfeJsOpb	120
xKLyyjEUltTPZSbIq	120
KddjwLjHVgYKpPPov	120
LvQzlzcjOBniPzBF	120
nkEeKoLpqPArCjJrU	120
cptDMCyTYBaXpwnyUHyoJ	120
PvUyuWf	120
EylbmwmNLVeEZVtcvbsM	120
NQFUqRTxQimbEcUMnbGI	120
YwXjKORODfpTqUXwh	120
IMGrw	120
CyBlGDCt	120
HqCbTUsUhEMemw	120
TVSnyNMlsHNjYUwN	120
hLiXnyxyNtLOYMs	120
LrDJWAbnxhDeuTZL	120
cxEJJDiFUnnnkHarTfyA	120
dVlEnWWEtttoz	120
qTsttOcslvtlb	120
HFAfbkgvIJ	120
KujaJgw	120
vAHHyWFBgE	120
imXhZMTucsvRiaNlZR	120
enNQs	120
usnirQBlqXFp	120
GZbNHYULnIyOaI	120
QmhtZrQojU	120
gYoBdMLHTqXhoQQYgkaME	120
