756597	KhcwJu	59
788859	AzTnGPxiYDEmIX	44
849188	NLlxCSMrSjpBcnRevQGe	54
564111	wkrWbMP	58
457538	ZZBkovOJiUEDOEEm	47
957697	lgnhyenPJzUYZKz	48
48139	MPIfWyRjL	60
2223	nvKJkcPuWlnRSWrX	59
365641	EVjORQqunRPm	52
1174765	VdTQJ	55
1040237	DilQGKpuZRhsj	59
356899	JJxVMUjPqqxtrMnBJBQuP	59
950880	QdDMqyfNFbUExk	43
737418	GtVneNhuhs	45
784654	lVGDQdAaUwqyqbcRcp	57
646120	VuXVtwEoXlgmb	52
603743	nTndNCTuwPmUiNazX	47
1157686	oAAHcbHTK	58
31052	lhwiwWNaoviKcLJYyZMf	58
1022135	HxeZgQuOGrzBU	53
355091	zRmomwgRszEnXEpvSSAl	60
120599	MWXVYqUhZVKYJOov	48
304741	NomvhHjNwoDfbcxS	53
162386	MRanNDWAqgfeeE	50
1170062	fTwFVJqcuTkoGOEHtWnt	43
730596	UDxucqPI	59
75097	BllbIdrZczHzl	48
13136	dKzGRjdScfSETJvmjkk	54
573238	gcFXWHcIJCgJTYbsplJ	48
741255	zPvQXyGdypbrfaXHfSzJD	51
438548	HDdMQIEewUidXfPysSXGn	54
278429	HVhTyIb	58
890446	cuDTJtHDiGqsbNsi	45
649264	pRMyjZpppKoKX	50
1002466	TwaGMjn	48
670489	JhEQNUiNsPoIBObHczNHM	46
421057	WBYZzVPzi	41
230344	PrDaimsSQtPCliYohEReq	56
846711	ZKZXMu	55
138870	HHgRYEwe	52
662283	FCFPtWPgTNuOCkZ	44
920022	qwEFkJWuM	59
29967	JdUFEGvPmWRBu	48
334398	ViFHthejOpYn	42
52016	RTiTbIoWE	41
729942	dxQWVTfKiSTD	40
823474	rMKhJeAjqf	42
1147503	MUvoqhuAqxKHy	43
234473	ytwFBvbDe	52
729379	LWtGLveqfvWLZxxuv	52
574626	eYSBywCtRvLuTaeVxXMf	51
310428	oPalHBHijwJ	52
745236	ArcZXJSuugLzHWtAGdRx	60
1105370	zPQiEWeRgdEoDmKPENV	59
203957	YXEbDAfGBSODOxyHXO	59
1001934	eTnNrP	45
330871	JgmhYgpuqOZ	41
268928	wfadE	53
507650	MuPaBhkRdXGZVtWG	53
633609	QCPrQDaLUy	58
1145507	YebgIohuPtdPBIcdUh	57
237781	jexcirw	56
261681	McxhwjdMuKfDTrBnSvIK	46
159083	uEURXFNlCJi	46
955262	xclDKy	57
962915	PyrdjQMxZyctbVqwgw	42
501538	ajFOaKBEETSolFDbQt	60
742479	xPkLDnXMKGGqOI	44
313596	dGzrjpjBqwf	48
921471	DiulsmgY	50
511927	GYbzOwCsjizuluRSsvO	55
56167	KoYqVFjNuWCFT	50
839201	OGbQBLd	45
1074052	wYgFVlFuxGJsqw	51
1029005	FismJeb	45
622708	nEOmLJdSLSaRPKwpjyttU	44
920732	CPlZUdHYEV	41
616407	zDwGLZMPnGYax	57
742449	PKxByrSiimQhmGfIWpysa	57
29648	DVjRTRmaYWUr	41
495198	nvEdxq	41
1026550	yJwrIZjIPhy	40
244608	diaLQI	57
1191525	ilwQxvsckYduhgxWJtNwD	40
178024	vMINYrOPxZjnwjCdPxbSa	52
674046	noVdOcRxImq	58
623554	AeYlqFYckZMNHp	42
541034	peJGinxjxNnwicsTLje	56
786173	NFKjpQwqkpiOg	55
328457	MUjmFw	47
512814	gPOSxKUwYKQCKv	59
1070428	GdjPtiMhN	45
855152	roeywxTqrgSdxV	60
411169	ZyAvEuFF	40
389957	xcFcnI	52
678583	cMrnvrdHdAw	49
586310	cGpnCR	56
303527	aFKDyECySxLimMqCa	49
744006	ylCcuXz	50
356098	TXGBvTRm	44
