1620	SOegaQfEN	85	9.998
575	UfVvyYJizt	71	9.998
792	QTrsLRXFIbHFxgnPgsq	65	9.994
1742	SqmqboeMwCQEyboyO	45	9.992
2768	DnwTBhCPGezGaCZxi	44	9.991
308	AHJaIXleFfX	101	9.989
1467	ybOfSMNHXKQSxdeB	103	9.988
922	uhBxlToYtNWCluTVTxL	93	9.982
2662	kDWDrknDBVxnUYElS	54	9.982
358	oRJJsa	89	9.976
2011	GYliXku	49	9.974
1949	rZVCP	78	9.96
2774	PPEpTrNqX	53	9.948
891	AsxPyqpxuAhRmTjyaeC	47	9.948
2874	dVSEDL	85	9.946
1052	FAgZHcpHeNEvdW	43	9.938
958	rrJcGEttbfLf	80	9.936
278	JyuhpVkVuLDWr	41	9.928
1516	DBFdkxcTmMxrpr	72	9.923
1279	FbVUtxZ	54	9.921
2713	abBsGsQrkJZKDrVbRAA	107	9.92
2127	UoXYJXxrUpPFZiC	104	9.911
2019	AIITeNPsLfqdsBhsv	46	9.907
2645	IBPOyNTjM	108	9.903
1609	ORsBdacQ	46	9.902
1727	PSphEQEa	105	9.9
1987	kmuMNpSbXozGJ	58	9.895
2404	EJajt	117	9.879
287	RvddRmkggHUTRK	82	9.877
2729	NTsvFMBwhplyt	117	9.873
279	NpDXJEnjaRpHUKInBe	49	9.868
1555	LgyVsgJjiiLvPCvdE	108	9.866
1344	uTEccinEUJFlR	107	9.863
621	UXmBeYxCu	54	9.863
1970	oGRDHrPPjDYoTYPpUGS	65	9.86
1390	hwcvIKUnMJrfrnlF	97	9.844
2148	ZyehewZe	107	9.844
236	CKXlyL	54	9.841
2755	xOgHNAihP	97	9.839
471	XxjKyLLUpFtecEFHGxWbV	67	9.834
535	TwYJQIaghhKvH	92	9.83
843	mjoReEqezpMHiKfE	69	9.829
1519	PeDCejrNEIaRc	55	9.828
1346	bHyfVIjyUH	96	9.824
1383	HfbHooWWvtVuydSXhAPqc	46	9.82
2937	sqHCOPpNNPIHpDj	60	9.818
645	yMnwcjRCIsJhwm	55	9.811
1099	oqiAZSOtMslwmYkDez	86	9.808
1025	ypDHQBUbMRrrYYXBd	42	9.806
2110	kebdZgC	89	9.806
1184	PfTSICcFQnPzW	80	9.801
2681	LgUYZQQkEpY	62	9.798
2009	mFLMSstsaJV	84	9.765
1106	NWfqBoBcJTRoi	109	9.76
2030	ZluMjGmJrUKeOBK	103	9.757
818	lihNNdpsotaaoORFsUJJP	116	9.74
2473	sTfNWQAFjEyWvrfPu	99	9.72
811	wxdKYMMxPwktcmChDOqot	98	9.716
1143	YgjpxxZAJYxGZIVZOcTz	44	9.716
1857	lQhNdox	58	9.714
1775	uUNTewehLpGjDrvdgQc	86	9.708
2895	eslyFsOA	76	9.702
142	tMBvBNP	100	9.698
