515	100	9
537	100	97
667	100	11
706	100	36
800	100	25
923	100	87
931	100	59
969	100	2
1022	100	95
1068	100	63
1159	100	4
1229	100	78
1475	100	52
1491	100	43
1801	100	28
1811	100	26
1906	100	5
1984	100	63
2000	100	80
2001	100	87
2003	100	12
2138	100	36
2154	100	29
2255	100	29
2326	100	3
2430	100	67
2459	100	5
2575	100	8
2735	100	45
2737	100	25
2837	100	68
2843	100	72
2892	100	69
2911	100	35
2970	100	99
3112	100	92
3430	100	81
3487	100	75
3540	100	81
3565	100	75
3600	100	98
3668	100	95
3698	100	5
3930	100	39
4042	100	99
4108	100	23
4128	100	41
4129	100	60
4259	100	96
4360	100	68
4432	100	39
4480	100	74
4525	100	15
4563	100	26
4635	100	32
4819	100	95
4894	100	100
4912	100	82
5125	100	22
5254	100	82
5549	100	7
5569	100	100
5696	100	65
5831	100	21
6401	100	80
6444	100	14
6523	100	49
6624	100	20
6641	100	45
6690	100	5
6760	100	79
6775	100	16
6781	100	90
6802	100	24
6817	100	73
6818	100	29
6863	100	11
6912	100	7
7377	100	37
7457	100	97
7481	100	82
7562	100	82
7602	100	23
7644	100	72
7659	100	81
7879	100	20
7933	100	42
7957	100	57
7966	100	71
8082	100	21
8105	100	78
8284	100	2
8512	100	66
8575	100	59
8612	100	64
8952	100	27
9023	100	98
9481	100	22
9655	100	92
9781	100	15
9930	100	84
