7135576	100	79196
7160988	100	28525
7200816	100	63781
7217202	100	74819
7238416	100	5859
7450372	100	85749
7501541	100	46488
7632646	100	79798
7633220	100	14069
7681709	100	17447
7685800	100	84637
7767452	100	33236
7840223	100	5203
7844661	100	21524
7900822	100	4455
8030151	100	10205
8233122	100	6635
8246419	100	57284
8256118	100	89637
8387857	100	46626
8492288	100	99939
8535505	100	30613
8537236	100	89995
8623266	100	69156
8845576	100	41488
8956607	100	19667
9033248	100	1727
9182055	100	54719
9212945	100	64185
9285418	100	2741
9554826	100	85090
9597504	100	20948
9655685	100	75986
9792276	100	9038
9870076	100	79406
10027008	100	21112
10029849	100	32742
10050007	100	62303
10353438	100	22898
10408600	100	14272
10481849	100	95143
10690143	100	97355
10701215	100	21188
10716836	100	9491
10777926	100	87147
10793113	100	50619
10833363	100	90834
10903696	100	486
11114994	100	85558
11216415	100	25191
11388175	100	2489
11547749	100	81997
11581899	100	19049
11787977	100	2095
11895122	100	42488
11900163	100	20399
12179403	100	70156
12185092	100	2374
12209377	100	26472
12300950	100	61010
12471731	100	20317
12473219	100	54805
12529637	100	50289
12551548	100	86365
12638779	100	19689
12726727	100	76719
12826247	100	36372
13117410	100	98770
13152458	100	16005
13353089	100	19972
13411424	100	41759
13537000	100	66861
13809479	100	5264
13846486	100	99368
13848207	100	70154
13858327	100	19242
13942000	100	2126
14046679	100	86250
14091819	100	88705
14100326	100	86276
14188491	100	13763
14287633	100	9662
14374233	100	44897
14501961	100	40691
14536690	100	68522
14691199	100	14649
14866030	100	33171
14905338	100	57049
14951500	100	1237
15102552	100	61199
15220328	100	93856
15226090	100	92325
15234246	100	78810
15245081	100	49099
15281673	100	91260
15355286	100	24821
15459363	100	86122
15507553	100	1306
15549491	100	23304
15612984	100	60899
15666179	100	23753
16031042	100	54182
16104632	100	2901
16597844	100	59793
16640678	100	16656
16651325	100	19403
16673273	100	95365
16855538	100	54704
16984386	100	35272
